SITE,CORE,SP,DBH,5YI,10YI,BHAGE
SM1,3,PSME,131.1,1.3,2.7,136
SM1,2,PSME,89.5,1,2,112
SM1,1,PSME,84.3,0.3,0.7,111
SM2,1,PSME,197.7,1.3,3,144
SM2,2,PSME,102.4,1.2,3,110
SM2,5,ALRU,62,0.8,1.5,109
SM2,4,PSME,127.9,1.2,3.2,108
SM2,3,ALRU,48.1,0.2,0.8,103
SM3,1,PSME,175.2,0.8,2.1,268
SM3,2,PSME,142.5,0.6,1.1,145
SM3,3,PSME,125,0.7,1.6,145
SM3,4,ALRU,13.6,0.4,1.4,25
SM3,5,PSME,12,1.3,2.4,22
SM4,1,PSME,121.2,1.1,2.7,97
SM4,3,PSME,102.3,0.8,1.5,85
SM4,2,PSME,93.7,1.4,3.5,83
SM4,4,ALRU,42.5,0.2,0.5,82
SM4,5,ALRU,25.6,0.2,0.5,40
SM5,1,PSME,109.5,0.5,1.1,109
SM5,2,PSME,87,0.5,1.4,109
SM5,4,ALRU,33,0.3,0.6,100
SM5,3,ALRU,39.6,0.05,0.1,85
SM6,4,ALRU,36.1,0.2,0.4,85
SM6,5,ALRU,26.8,0.1,0.2,79
SM6,1,PSME,80.9,2.2,4.3,61
SM6,3,PSME,65.6,1,2.4,61
SM6,2,PSME,80.9,1.6,3.8,60
SM7,2,PSME,82.2,0.9,1.9,82
SM7,3,PSME,92.9,1.1,2.5,76
SM7,1,PSME,86.7,0.7,1.4,75
SM8,4,ALRU,40.5,0.2,0.3,88
SM8,2,ALRU,46.4,0.2,0.4,86
SM8,3,PSME,28.9,1,1.7,85
SM8,5,PSME,78.8,1.5,3.2,81
SM8,1,ALRU,33.6,0.1,0.2,55
SU1,1,PSME,75.5,0.9,1.8,57
SU1,2,PSME,66.8,1.1,3.8,57
SU1,3,PSME,59.4,0.9,2.4,56
SU2,2,PSME,107,1.3,3.9,100
SU2,4,ALRU,34.5,0.2,0.3,78
SU2,6,ALRU,29,0.2,0.4,76
SU2,1,PSME,95,1.1,2.8,75
SU2,5,ALRU,36.8,0.1,0.5,75
SU2,3,PSME,60.5,2,4.5,69
